text_id,gpt3_text_annotation,gpt3_confidence_score,gpt3_entities_found,gpt3_wiki_pages_found,gpt3_matched,gpt3_total,gpt3_percent_matched,gpt3_average_highest,wiki_confidence_score,wiki_entities_found,wiki_wiki_pages_found,wiki_matched,wiki_total,wiki_percent_matched,wiki_average_highest
1,major_inaccurate,19.58,27,27,2,9,22.22,0.1693,96.71,66,63,35,36,97.22,0.962
2,minor_inaccurate,24.83,18,18,2,7,28.57,0.2109,97.95,27,25,8,8,100,0.9591
3,minor_inaccurate,78.93,31,28,8,9,88.89,0.6896,93.73,53,51,18,19,94.74,0.9273
4,minor_inaccurate,10.09,21,21,1,9,11.11,0.0906,72.14,34,33,12,16,75,0.6928
5,minor_inaccurate,65.25,24,23,8,11,72.73,0.5778,78.21,38,38,13,16,81.25,0.7517
6,minor_inaccurate,89.58,18,14,11,11,100,0.7916,86.74,20,18,8,9,88.89,0.8459
7,major_inaccurate,19.29,19,19,2,9,22.22,0.1635,40.98,26,21,5,11,45.45,0.3652
8,minor_inaccurate,51.97,15,12,4,7,57.14,0.4681,87.45,14,13,8,9,88.89,0.8601
9,minor_inaccurate,32.77,14,14,3,8,37.5,0.2803,98.71,32,29,15,15,100,0.9742
10,minor_inaccurate,24.97,22,22,3,11,27.27,0.2266,95.77,32,32,6,6,100,0.9154
11,accurate,51.4,17,17,4,7,57.14,0.4566,99.05,25,23,10,10,100,0.9811
12,accurate,60.44,20,19,9,13,69.23,0.5165,73.78,38,36,12,15,80,0.6755
13,minor_inaccurate,27.02,17,17,2,7,28.57,0.2547,40.59,46,41,7,16,43.75,0.3742
14,accurate,62.36,25,25,7,10,70,0.5473,89.26,24,21,11,12,91.67,0.8686
15,minor_inaccurate,31.18,25,25,3,9,33.33,0.2903,97.9,64,60,16,16,100,0.9579
16,minor_inaccurate,38.72,18,17,3,7,42.86,0.3458,72.96,28,25,8,10,80,0.6592
17,minor_inaccurate,16.22,17,17,1,6,16.67,0.1577,74.15,25,25,7,9,77.78,0.7053
18,accurate,90.47,15,14,5,5,100,0.8094,93.99,19,17,7,7,100,0.8797
19,minor_inaccurate,50.41,19,19,4,7,57.14,0.4368,96.25,36,33,8,8,100,0.9251
20,minor_inaccurate,35.9,22,20,4,10,40,0.3179,78.28,29,26,9,11,81.82,0.7474
21,minor_inaccurate,44.7,16,16,5,10,50,0.3939,92.57,40,40,16,17,94.12,0.9102
22,major_inaccurate,19.49,22,22,3,14,21.43,0.1756,95.04,26,26,11,11,100,0.9008
23,minor_inaccurate,52.02,9,9,3,5,60,0.4405,22.44,15,15,2,8,25,0.1988
24,minor_inaccurate,15.49,12,12,1,6,16.67,0.1432,76.9,27,26,12,15,80,0.7381
25,minor_inaccurate,26.1,20,20,3,10,30,0.2219,65.39,18,18,7,10,70,0.6078
26,major_inaccurate,11.78,11,10,1,8,12.5,0.1105,99.4,16,14,6,6,100,0.988
27,accurate,81.74,20,19,9,10,90,0.7348,83.22,27,26,7,8,87.5,0.7894
28,minor_inaccurate,68.8,17,16,7,9,77.78,0.5982,98.71,17,13,5,5,100,0.9743
29,accurate,84.08,30,29,10,11,90.91,0.7726,96.74,59,58,22,22,100,0.9348
30,minor_inaccurate,77.77,21,18,7,8,87.5,0.6803,99.13,31,28,14,14,100,0.9826
31,minor_inaccurate,11.13,16,16,1,8,12.5,0.0977,14.64,24,24,3,18,16.67,0.1261
32,minor_inaccurate,24.54,20,20,3,11,27.27,0.218,84.82,25,24,8,9,88.89,0.8075
33,minor_inaccurate,34.07,16,16,3,8,37.5,0.3064,99.58,27,27,11,11,100,0.9916
34,major_inaccurate,17.53,7,6,1,5,20,0.1505,99.36,38,35,16,16,100,0.9871
35,minor_inaccurate,16.27,8,8,2,11,18.18,0.1435,61.55,21,19,10,15,66.67,0.5643
36,major_inaccurate,19.52,28,28,3,14,21.43,0.1761,58.55,32,32,10,16,62.5,0.5459
37,minor_inaccurate,49.44,22,21,8,15,53.33,0.4556,99.75,20,19,11,11,100,0.9949
38,minor_inaccurate,26.13,28,26,3,10,30,0.2226,93.23,37,37,7,7,100,0.8647
39,accurate,27.53,12,11,2,7,28.57,0.2648,92.38,20,18,9,9,100,0.8477
40,minor_inaccurate,20.03,19,19,2,9,22.22,0.1784,69.18,34,32,6,8,75,0.6335
41,accurate,46.43,13,12,2,4,50,0.4286,99.06,24,21,9,9,100,0.9812
42,minor_inaccurate,18.15,16,16,2,10,20,0.163,75.63,41,40,7,9,77.78,0.7349
43,accurate,9.53,12,12,1,9,11.11,0.0795,96.18,28,27,11,11,100,0.9236
44,major_inaccurate,76.51,12,11,6,7,85.71,0.6731,99.88,21,17,6,6,100,0.9976
45,minor_inaccurate,71.23,27,26,12,15,80,0.6245,67.12,51,49,28,38,73.68,0.6055
46,major_inaccurate,16.1,21,20,2,11,18.18,0.1402,99.49,59,57,28,28,100,0.9897
47,minor_inaccurate,60.31,26,25,6,9,66.67,0.5395,86.92,22,22,9,10,90,0.8384
48,accurate,60.73,14,14,2,3,66.67,0.548,90.55,26,23,6,6,100,0.811
49,accurate,62.94,23,23,6,9,66.67,0.5922,89.53,32,30,14,15,93.33,0.8572
50,minor_inaccurate,20.85,7,7,2,9,22.22,0.1947,98.83,20,19,7,7,100,0.9766
51,minor_inaccurate,89.8,20,19,6,6,100,0.796,97.04,29,26,9,9,100,0.9409
52,major_inaccurate,15.06,19,19,1,6,16.67,0.1346,99.78,29,28,13,13,100,0.9956
53,accurate,74.04,11,11,4,5,80,0.6808,83.04,21,21,9,10,90,0.7607
54,accurate,44.97,14,13,4,8,50,0.3994,91.56,55,52,20,21,95.24,0.8787
55,accurate,60.24,14,14,4,6,66.67,0.5382,93.24,36,31,16,17,94.12,0.9237
56,major_inaccurate,0,15,15,0,10,0,0,99.49,47,46,17,17,100,0.9898
57,major_inaccurate,10.64,13,12,1,8,12.5,0.0877,99.85,33,32,11,11,100,0.997
58,minor_inaccurate,62.32,19,18,7,10,70,0.5464,99.54,22,19,11,11,100,0.9909
59,major_inaccurate,50.08,19,18,6,11,54.55,0.4561,19.44,32,29,3,14,21.43,0.1745
60,minor_inaccurate,71.87,21,20,8,10,80,0.6374,88.15,29,24,10,11,90.91,0.8539
61,accurate,19.49,9,8,1,5,20,0.1897,98.44,28,26,14,14,100,0.9689
62,accurate,56.37,26,26,5,8,62.5,0.5024,90.88,29,29,11,12,91.67,0.9008
63,accurate,75.66,12,12,5,6,83.33,0.6798,77.49,20,19,6,7,85.71,0.6927
64,minor_inaccurate,26.86,18,18,2,7,28.57,0.2516,99.86,29,27,10,10,100,0.9972
65,minor_inaccurate,26.44,18,17,2,7,28.57,0.2431,98.59,27,26,10,10,100,0.9718
66,minor_inaccurate,67.39,29,26,9,12,75,0.5979,36.92,23,23,3,7,42.86,0.3098
67,major_inaccurate,34.13,21,20,6,16,37.5,0.3075,9.59,35,35,4,40,10,0.0918
